imagename,description,topicality
1541185039750.jpg,a structure that has a roof and walls and stands more or less permanently in one place.the act of constructing something.the commercial activity involved in repairing old structures or constructing new ones.the occupants of a building. a very tall building with many stories. a structure taller than its diameter; can stand alone or be attached to a larger building.anything that approximates the shape of a column or tower.a powerful small boat designed to pull or push larger ships,Building
1548577390917.jpg,any substance that can be metabolized by an animal to give energy and build tissue.any solid substance (as opposed to liquid.anything that provides mental stimulus for thinking. articles for use at the table (dishes and silverware and glassware. small rounded bread either plain or sweet,Food
1548577395617.jpg,any substance that can be metabolized by an animal to give energy and build tissue.any solid substance (as opposed to liquid.anything that provides mental stimulus for thinking. articles for use at the table (dishes and silverware and glassware. tableware (eating and serving dishes,Food
1559010107557.jpg,a structure that has a roof and walls and stands more or less permanently in one place.the act of constructing something.the commercial activity involved in repairing old structures or constructing new ones.the occupants of a building. an architectural product or work.the discipline dealing with the principles of design and construction and ornamentation of fine buildings.the profession of designing buildings and environments with consideration for their esthetic effect.(computer science. (mathematics.balance among the parts of something.(physics,Building
1559010111155.jpg,a structure that has a roof and walls and stands more or less permanently in one place.the act of constructing something.the commercial activity involved in repairing old structures or constructing new ones.the occupants of a building. an architectural product or work.the discipline dealing with the principles of design and construction and ornamentation of fine buildings.the profession of designing buildings and environments with consideration for their esthetic effect.(computer science. an object firmly fixed in place (especially in a household.a regular patron.the quality of being fixed in place as by some firm attachment.the act of putting something in working order again,Building
20190210_150521.jpg,a structure taller than its diameter; can stand alone or be attached to a larger building.anything that approximates the shape of a column or tower.a powerful small boat designed to pull or push larger ships. a structure that has a roof and walls and stands more or less permanently in one place.the act of constructing something.the commercial activity involved in repairing old structures or constructing new ones.the occupants of a building. the atmosphere and outer space as viewed from the earth,Tower
IMG_0146.JPG,"any substance that can be metabolized by an animal to give energy and build tissue.any solid substance (as opposed to liquid.anything that provides mental stimulus for thinking. a block of solid substance (such as soap or wax.small flat mass of chopped food.baked goods made from or based on a mixture of flour, sugar, eggs, and fat. a component of a mixture or compound.an abstract part of something.food that is a component of a mixture in cooking",Food
IMG_0233.JPG,"a member of the genus Canis (probably descended from the common wolf.a dull unattractive unpleasant girl or woman.informal term for a man.someone who is morally reprehensible.a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll.a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward.metal supports for logs in a fireplace. a terrestrial or aquatic flesh-eating mammal.any animal that feeds on flesh. the inside lower horizontal surface (as of a room, hallway, tent, or other structure.building material used in laying floors",Dog
IMG_0255.JPEG,a member of the genus Canis (probably descended from the common wolf.a dull unattractive unpleasant girl or woman.informal term for a man.someone who is morally reprehensible.a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll.a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward.metal supports for logs in a fireplace. a terrestrial or aquatic flesh-eating mammal.any animal that feeds on flesh. a long projecting or anterior elongation of an animal's head; especially the nose.informal terms for the nose.beaklike projection of the anterior part of the head of certain insects such as e.g. weevils,Dog
IMG_0260.JPEG,"a member of the genus Canis (probably descended from the common wolf.a dull unattractive unpleasant girl or woman.informal term for a man.someone who is morally reprehensible.a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll.a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward.metal supports for logs in a fireplace. a terrestrial or aquatic flesh-eating mammal.any animal that feeds on flesh. a band that fits around the neck and is usually folded over.(zoology.anything worn or placed about the neck.a short ring fastened over a rod or shaft to limit, guide, or secure a machine part.the stitching that forms the rim of a shoe or boot.a band of leather or rope that is placed around an animal's neck as a harness or to identify it.necklace that fits tightly around a woman's neck.a figurative restraint.the act of apprehending (especially apprehending a criminal",Dog
